TDE,Observation Information,Observation Information,Observation Information,Observation Information,Counts,Counts,Counts,Counts,Poisson Analysis,Poisson Analysis,Poisson Analysis,Count Rate,Count Rate,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,
D1-9,rs921807n00,r9,48262.3,199.8,0,1.05,1.533,0.32,1,0,U,0.0308981,0,0.0249,,,4.5,,,,1.15E-13,0,0,4.58E+43,0,0,2.42845,0,1.8137,0,1,0,rosat
D23H-1,rs931763n00,r10,48200,350,0,1.489,3.288,0.466,1,0,U,0.0293373,0,0.04,,,4.5,,,,2.04E-13,0,0,2.11E+43,0,0,6.0007,0,2.96132,0,1,0,rosat
D3-13,rs930826n00,r11,48083.6,694,2.267,3.703,10.733,0.846,0.999743,0.000256636,U,0.0348557,0,0.0134,,,4.5,,,,6.56E-14,0,0,3.58E+43,0,0,8.5972,0,3.20377,0,1,0,rosat
DES14C1kia,rp150085n00,r12,48090.3,324,0,7.346,59.46,1.99,1,0,U,0.3,0,0.00791,,,4.5,,,,2.10E-13,0,0,1.59E+43,0,0,31.5301,0,12.5778,0,4.16587,0,rosat
DES14C1kia,rp190073n00 +rp190115n00,r13,50487.4,324,0,4.556,26.4,1.33,1,0,U,0.152,0,0.00791,,,4.5,,,,1.07E-13,0,0,8.09E+42,0,0,15.7041,0,6.0007,0,1.54164,0,rosat
DES14C1kia,rp190472n00,r14,50495.5,324,3.4,4.104,12.6,0.92,0.999686,0.00031353,U,0.0844,0,0.00791,,,4.5,,,,5.92E-14,0,0,4.47E+42,0,0,8.90151,0,3.66718,0,1.22707,0,rosat
DES14C1kia,rs932209n00,r15,48102.3,324,0,0.115,0.2,0.12,1,0,U,0.0056,0,0.00791,,,4.5,,,,3.93E-15,0,0,2.97E+41,0,0,2.42845,0,0.992389,0,1,0,rosat
"GRB060218, SN2006aj",rs931409n00,r16,48102.3,456.2,0,1.494,3.467,0.481,1,0,U,0.0233462,0,0.1124,,,4.5,,,,5.32E-13,0,0,1.36E+42,0,0,4.70588,0,1.44362,0,0.843531,0,rosat
HLX-1,rp800276n00,r17,48964.2,18501.2,0,18.73,334,6.5,1,0,U,0.0247251,0,0.0221,,,4.5,,,,4.69E-14,0,0,5.20E+40,0,0,171.469,0,87.1616,0,5.44926,0,rosat
IC 3599,rp600415a01 +rp600415n00 +rp700552a00 +rp700552a01 +rp701097n00 +rp701098n00 +rp701099n00 +rp701100n00 +rp701528n00,r18,48829.4,27965.6,865.97,37.044,450.03,7.5,0,1,D,0.0364301,0.00155839,0.0335,-0.01,0.01,4.63,-0.58,0.77,0.95 (42),7.19E-14,6.31E-14,8.29E-14,7.22E+40,6.34E+40,8.32E+40,305.579,23.2494,41.4662,0,5.71863,0,rosat
IC 3599,rs931231n00,r19,48221.6,500,1492.72,39.74,81.26,2.32,0,1,D,3.51228,0.0935059,0.0335,same as rosat fit for this event,,4.63,same as rosat fit for this event,,,1.78E-11,1.73E-11,1.83E-11,1.79E+43,1.74E+43,1.83E+43,677.059,29.6365,52.7941,8.27882,1,0,rosat
IGR J12580,rs931735n00,r20,48083.6,291,0,1.822,4.8,0.566,1,0,U,0.0459781,0,0.015,,,4.5,,,,9.67E-14,0,0,3.51E+39,0,0,4.70588,0,2.13784,0,1,0,rosat
IGR J17361-4441,rp400077n00 +rp201109n00,r21,48710,13842.2,201.268,22.755,296.732,4.448,1,0,U,0.0296119,0,0.25,,,4.5,,,,3.66E-13,0,0,1.35E+42,0,0,228.051,0,119.216,15.4965,8.56656,0,rosat
LEDA 095953,rp8000287n00,r22,48846.7,5350,987.733,47.713,1208.27,8.975,1,0,U,0.288631,0,0.05646,-0.01,0.01,2.5,-0.4,0.41,0.79 (133),1.76E-12,1.68E-12,1.88E-12,5.40E+42,5.15E+42,5.77E+42,695.257,0,724.156,0,46.2622,0,rosat
NGC 1097,rp600449n00,r23,48983.4,9249,2075.86,47.06,130.141,2.95,0,1,D,0.264049,0.00598602,0.0412,-0.006,0.006,1.99,-0.16,0.16,1.12 (131),2.19E-12,2.13E-12,2.25E-12,8.31E+40,8.09E+40,8.54E+40,1182.66,37.9824,876.548,32.34,38,6.25,rosat
NGC 2110,rs931816n00,r24,48136.5,493,9.33,3.639,3.667,0.494,0.0130679,0.986932,D,0.0222646,0.00868393,0.2,,,4.5,,,,2.95E-13,1.88E-13,4.29E-13,3.67E+40,2.34E+40,5.34E+40,5.27804,0,6.11765,2.89412,0.843531,0,rosat
NGC 247,rp600159a00 +rp600159a01,r25,48695.5,18374,67.27,17.764,220.735,5.251,1,0,U,0.0169873,0,0.02,,,4.5,,,,7.53E-14,0,0,4.54E+37,0,0,116.146,0,44.1551,0,5.17201,0,rosat
NGC 247,rs932102n00,r26,48335.1,336,5.38,3.421,5.62,0.83,0.660872,0.339128,U,0.0445797,0,0.02,,,4.5,,,,2.87E-14,0,0,1.73E+37,0,0,9.36233,0,3.9357,0,1,0,rosat
NGC 3599,rp600263n00 +rp300169n00,r27,48955,18896,50.506,18.927,288.49,4.39,1,0,U,0.0211339,0,0.0141,,,4.5,,,,9.56E-14,0,0,1.49E+39,0,0,112.076,0,31.5366,0,5.10059,0,rosat
NGC 5905,rp600190n00,r28,48627,4700,0,11.06,154.8,3.211,1,0,U,0.0480915,0,0.0142,,,4.5,,,,4.82E-14,0,0,1.33E+40,0,0,85.3929,0,15.069,0,2.06418,0,rosat
NGC 5905,rp600585n00,r29,49186.5,9647,61.917,14.09,128.08,2.92,1,0,U,0.0197601,0,0.0142,,,4.5,,,,1.98E-14,0,0,5.46E+39,0,0,55.3293,0,16.4601,0,3.48328,0,rosat
NGC 5905,rs930725n00,r30,48083.6,1000,218.3,15.709,26.735,1.335,0,1,D,0.256824,0.0184812,0.0142,,,4.5,,,,2.58E-13,2.39E-13,2.76E-13,7.10E+40,6.59E+40,7.61E+40,70.9812,9.73765,5.27804,0,1.22707,0,rosat
PGC 1185375,rp600257a01 +rp600257n00.,r31,48900,6682,9.203,11.381,112.797,2.742,1,0,U,0.0254694,0,0.05,,,4.5,,,,1.43E-13,0,0,8.42E+39,0,0,71.4137,0,21.2929,0,2.29737,0,rosat
PGC 1185375,rs931741n00,r32,48102.3,414,0.8,2.723,6.2,0.643,1,0,U,0.0388461,0,0.05,,,4.5,,,,3.70E-13,0,0,2.18E+40,0,0,9.64253,0,3.43975,0,1,0,rosat
PGC 1190358,rp600257a01,r33,49000,4631.8,0,6.959,51.41,1.85,1,0,U,0.0185,0,0.045,,,4.5,,,,8.93E-14,0,0,1.13E+40,0,0,41.8181,0,16.4601,0,1.22707,0,rosat
PGC 1190358,rp600257n00,r34,48800,6717.4,19.124,10.822,91.88,2.48,1,5.27E-21,U,0.0211,0,0.045,,,4.5,,,,1.02E-13,0,0,1.30E+40,0,0,57.4189,0,21.7641,0,2.92379,0,rosat
Pictor A,rp700075n00,r35,48306,4583,3502.73,59.97,88.27,2.426,0,1,D,0.899162,0.0153945,0.0484,-0.005,0.005,1.94,-0.13,0.13,0.92 (165),8.75E-12,8.60E-12,8.90E-12,2.31E+43,2.27E+43,2.35E+43,1979.45,48.8576,1671.76,44.5647,70.8,8.49,rosat
PS1-10jh,rs930727n00 +rs930829n00 +rs930830n00,r36,48083.6,2873,4.668,7.913,54.332,1.903,1,0,U,0.0313036,0,0.0129,,,4.5,,,,5.67E-14,0,0,4.76E+42,0,0,35.7249,0,10.0783,0,1.54164,0,rosat
PS1-11af,rs931627n00,r37,48200,439.79,0,1.812,4.27,0.53,1,0,U,0.028,0,0.0213,,,4.5,,,,5.09E-14,0,0,3.49E+43,0,0,5.99806,0,2.70278,0,1,0,rosat
PTF-09axc,rs931338n00,r38,48300,417.553,0,2.545,7.13,0.69,1,0,U,0.0427,0,0.028,,,4.5,,,,1.09E-13,0,0,3.79E+42,0,0,10.2207,0,3.66718,0,0.843531,0,rosat
PTF-09djl,rs931240n00 +rs931241n00,r39,48102.8,1064.4,3.934,4.352,14.07,0.97,0.99991,0.00009,U,0.028,0,0.0183,,,4.5,,,,4.28E-14,0,0,4.33E+42,0,0,12.8474,0,3.20377,0,1.22707,0,rosat
PTF-09ge,rs930827n00,r40,48100,804.911,4.599,4.22,12.4,0.91,0.99832,0.00168,U,0.0336,0,0.016,,,4.5,,,,4.44E-14,0,0,4.39E+41,0,0,11.6286,0,4.70588,0,0.843531,0,rosat
PTF-10iam,rp701436n00,r41,49213.5,5060,0,7.211,59.994,2,1,0,U,0.0193515,0,0.01,,,4.5,,,,1.64E-14,0,0,5.11E+41,0,0,30.441,0,11.9003,0,2.06418,0,rosat
PTF-10iam,rs930726n00,r42,48080,1051,0,4.131,16.001,1.033,1,0,U,0.0313442,0,0.01,,,4.5,,,,4.51E-14,0,0,1.41E+42,0,0,13.5122,0,5.64314,0,0.843531,0,rosat
PTF-10iya,rs931032n00,r43,48100,623.426,0,3.266,10,0.82,1,0,U,0.0368,0,0.0107,,,4.5,,,,3.30E-14,0,0,5.29E+42,0,0,9.64253,0,4.30634,0,0.843531,0,rosat
PTF-10nuj,rp201582n00 +rp701372n00,r44,49227.5,6509.8,15.886,11.776,115.11,2.77,1,9.53E-33,U,0.0266,0,0.0138,,,4.5,,,,3.03E-14,0,0,1.44E+42,0,0,55.615,0,16.4563,0,4,0,rosat
PTF-10nuj,rp701147n00,r45,49054.9,996.151,0,6.873,48.67,1.8,1,0,U,0.0822,0,0.0138,,,4.5,,,,9.35E-14,0,0,4.45E+42,0,0,28.9066,0,6.85285,0,0.843531,0,rosat
PTF-10nuj,rs930727n00,r46,48083.6,718.899,0,2.794,12.13,0.9,1,0,U,0.037,0,0.0138,,,4.5,,,,4.21E-14,0,0,2.00E+42,0,0,10.2229,0,3.43975,0,0.843531,0,rosat
PTF-11glr,rs931037n00,r47,48100,570.841,1.868,2.035,2.13,0.38,0.88116,0.11884,U,0.0134,0,0.0212,,,4.5,,,,2.42E-14,0,0,3.22E+42,0,0,7.98114,0,3.43975,0,1,0,rosat
RBS 1032,rp201237a01,r48,49500,3333,363.87,20.007,34.13,1.51,0,1,D,0.128,0.00706,0.0198,,,4.50834,-0.32,0.45,1.41 (11),1.81E-13,1.49E-13,2.08E-13,2.75E+41,2.26E+41,3.16E+41,114.667,12.0835,6.51554,0,1.81716,0,rosat
RBS 1032,rp201237n00,r49,49000,2477,470.804,22.499,33.2,1.49,0,1,D,0.224,0.01069,0.0198,,,5.94,-1.34,1.46,1.309 (15),1.23E-13,1.20E-13,1.37E-13,1.87E+41,1.82E+41,2.08E+41,121.962,12.54,8.44359,0,1,0,rosat
RBS 1032,rs930822n00,r50,48200,366,99.2,10.472,9.8,0.81,0,1,D,0.319,0.03366,0.0198,,,5.22417,,,,3.28E-13,2.93E-13,3.63E-13,4.98E+41,4.45E+41,5.51E+41,26.8235,5.9,2.96132,0,1,0,rosat
RX J1242-11A,rp600258n00,r51,48818.3,5324,674.998,31.272,284.002,4.351,0,1,D,0.149158,0.00691033,0.11,-0.04,0.05,7.48,-1.58,1.08,0.86 (43),6.75E-13,4.73E-13,7.78E-13,3.97E+42,2.78E+42,4.57E+42,319.686,22.8612,51.4162,0,4.48634,0,rosat
RX J1242-11A,rs931934n00,r52,48083.6,297,0,3.589,13.267,0.94,1,0,U,0.0958375,0,0.11,,,7.48,,,,1.21E-12,0,0,7.13E+42,0,0,13.6425,0,5.82312,0,1.22707,0,rosat
RX J1420+53,rp150046n00,r53,48091.7,5905,15.76,11.958,119.742,2.83,1,0,U,0.0397499,0,0.0118,,,4.5,,,,3.89E-14,0,0,2.36E+42,0,0,66.856,0,19.1546,0,4.32627,0,rosat
RX J1420+53,rs930724n00,r54,48083.6,690,136.6,12.584,20.408,1.166,0,1,D,0.232907,0.0214561,0.0118,,,4.5,,,,3.88E-13,3.52E-13,4.23E-13,2.35E+43,2.13E+43,2.57E+43,38.7447,7.28471,3.43975,0,1,0,rosat
RX J1624+75,rp141820n00 +rp141829n00,r55,48634.1,3342,0,6.47,41.869,1.671,1,0,U,0.0215725,0,0.038,,,4.5,,,,8.24E-14,0,0,8.04E+41,0,0,32.4033,0,8.44589,0,1.81716,0,rosat
RX J1624+75,rs930311n00,r56,48128.6,1045,338.267,19.318,32.733,1.477,0,1,D,0.380824,0.0485424,0.038,,,4.5,,,,2.47E-12,2.36E-12,2.58E-12,2.41E+43,2.30E+43,2.52E+43,206.353,16.2129,43.0588,7.46118,0.843531,0,rosat
SDSS J0159,rp700225n00 +rp700972n00,r57,48733,7057,68.079,11.719,64.921,2.08,0.367415,0.632585,U,0.0148527,0,0.0266,,,4.5,,,,3.55E-14,0,0,1.26E+43,0,0,48.24,9.20824,17.693,0,2.29737,0,rosat
SDSS J0159,rs931706n00,r58,48260,400,3.733,3.058,5.267,0.593,0.896323,0.103677,U,0.0357411,,0.0266,,,4.5,,,,1.45E-13,0,0,5.15E+43,0,0,6.0007,0,4.09798,0,1.22707,0,rosat
SDSS J0748,rs930916n00,r59,48200,447.246,2.867,2.492,3.13,0.46,0.81945,0.18056,U,0.0222,0,0.0584,,,4.5,,,,1.54E-13,0,0,1.40E+42,0,0,3.43975,0,1.44362,0,1,0,rosat
SDSS J0938,rs931426n00 +rs931526n00,r60,48200,878.91,11.667,4.415,7.33,0.7,0.12359,0.87641,U,0.0207,0,0.0335,,,4.5,,,,6.65E-14,0,0,1.74E+42,0,0,7.98114,0,6.0007,0,1,0,rosat
SDSS J0939,rs931021n00,r61,48179,475,0,2.321,5,0.622,1,0,U,0.0289986,0,0.0124,,,4.5,,,,5.06E-14,0,0,5.24E+42,0,0,6.34674,0,2.70278,0,1.22707,0,rosat
SDSS J0952,rs931326n00,r62,48194.9,408,0,1.116,3.667,0.494,1,0,U,0.0271391,0,0.0279,,,4.5,,,,1.17E-13,0,0,1.80E+42,0,0,6.0007,0,1.8137,0,0.843531,0,rosat
SDSS J1011,rp900213n00,r63,48600,14094.3,53.569,19.285,298.43,4.46,1,1.83E-69,U,0.0292,0,0.00803,,,4.5,,,,2.07E-14,0,0,4.15E+42,0,0,144.821,0,33.6967,0,8.07268,0,rosat
SDSS J1011,rs930717n00,r64,48200,504.3,2,2.708,5,0.58,0.95957,0.04043,U,0.0273,0,0.00803,,,4.5,,,,1.94E-14,0,0,3.89E+42,0,0,6.0007,0,1.44362,0,1,0,rosat
SDSS J1055,rp000050n00 +rp900029a04,r65,48365.2,26430.4,472.419,31.146,466.58,5.58,0.40707,0.59293,U,0.0237,0,0.00638,,,4.5,,,,1.43E-14,0,0,1.94E+41,0,0,180.635,0,55.6209,0,5.39473,0,rosat
SDSS J1055,rp900029a00,r66,48554.3,34397.4,528.67,36.529,755.33,7.1,1,9.48E-19,U,0.0287,0,0.00638,,,4.5,,,,1.73E-14,0,0,2.35E+41,0,0,328.077,0,72.1879,0,7.04758,0,rosat
SDSS J1055,rp900029a01,r67,48727.7,11512.9,202.535,24.03,351.47,4.84,1,1.76E-18,U,0.0417,0,0.00638,,,4.5,,,,2.51E-14,0,0,3.41E+41,0,0,182.156,0,36.5753,0,4.64383,0,rosat
SDSS J1055,rp900029a02,r68,48955.3,36621.1,488.47,35.68,735.53,7,1,9.94E-23,U,0.0262,0,0.00638,,,4.5,,,,1.58E-14,0,0,2.15E+41,0,0,352.067,0,72.4776,0,7.30762,0,rosat
SDSS J1055,rp900029a03,r69,49103.9,934.08,14.825,5.939,19.18,1.13,0.90822,0.09178,U,0.0407,0,0.00638,,,4.5,,,,2.45E-14,0,0,3.33E+41,0,0,12.7148,0,2.70278,0,0.843531,0,rosat
SDSS J1055,rp900029m01,r70,48184,27.934,0.133,1.028,0.87,0.24,1,0,U,0.154,0,0.00638,,,4.5,,,,9.26E-14,0,0,1.26E+42,0,0,2.96132,0,4.70588,0,1,0,rosat
SDSS J1055,rs930718n00,r71,48396.4,569.35,20.799,5.722,11.2,0.86,0.0111,0.98891,D,0.043,0.01182,0.00638,,,4.5,,,,2.59E-14,1.88E-14,3.30E-14,3.52E+41,2.56E+41,4.49E+41,10.9319,0,4.50677,0,1,0,rosat
SDSS J1201,rs931229n00,r72,48215.5,483,0,2.331,6.533,0.66,1,0,U,0.03459,0,0.013,,,4.5,,,,6.31E-14,0,0,3.77E+42,0,0,8.13559,0,2.70278,0,0.843531,0,rosat
SDSS J1241,rs930926n00,r73,48213,493,4.4,3.5051,4.6,0.554,0.674294,0.325706,U,0.0263317,0,0.016,,,4.5,,,,5.93E-14,0,0,2.41E+41,0,0,5.08973,0,2.96132,0,1,0,rosat
SDSS J1311,rp800248n00,r74,48821.3,13187,247.25,22.66,249.75,4.081,0.577509,0.422491,U,0.026511,0,0.0182,,,4.5,,,,4.03E-14,0,0,3.87E+42,0,0,176.469,18.5271,125.882,14.1671,6.24264,0,rosat
SDSS J1311,rs931736n00,r75,48086.1,275,10.4,4.05,5.6,0.611,0.05913,0.94087,U,0.0543285,0,0.0182,,,4.5,,,,1.40E-13,0,0,1.35E+43,0,0,19.9936,0,16.0823,0,2.29737,0,rosat
SDSS J1323,rs930824n00 +rs930825n00 +rs930927n00,r76,48100,1120,5.334,4.695,15.666,1.022,0.999485,0.000515462,U,0.0289287,0,0.01,,,4.5,,,,4.16E-13,0,0,8.05E+42,0,0,9.34902,0,2.13784,0,0.843531,0,rosat
SDSS J1342,rs931637n00,r77,48100,325.01,0,1.814,4.33,0.54,1,0,U,0.0383,0,0.0197,,,4.5,,,,6.36E-14,0,0,1.95E+41,0,0,7.019,0,2.42845,0,1,0,rosat
SDSS J1350,rs931234n00,r78,48080,454,0,2.733,7.067,0.686,1,0,U,0.0389794,0,0.012,,,4.5,,,,6.60E-14,0,0,9.87E+41,0,0,7.34428,0,2.96132,0,1,0,rosat
Swift J1112-82,rs933205n00,r79,48100,300.96,0,1.488,3.2,0.46,1,0,U,0.0335,0,0.0909,,,4.5,,,,3.91E-13,0,0,7.83E+43,0,0,4.09798,0,2.42845,0,2.29737,0,rosat
Swift J1644+57,rp000014n00,r80,48370,572,3.332,3.972,11.668,0.882,0.99931,0.000690246,U,0.0450751,0,0.0198,,,4.5,,,,7.53E-14,0,0,3.69E+43,0,0,13.9059,0,4.30634,0,1,0,rosat
Swift J1644+57,rp150069n00,r81,48094.1,29.8,0,0.176,0.467,0.176,1,0,U,0.0993732,0,0.0198,,,4.5,,,,1.66E-13,0,0,8.13E+43,0,0,2.42845,0,4.70588,0,1,0,rosat
Swift J1644+57,rp900209n00,r82,48715.6,3267.8,0,9.114,91.07,2.46,1,0,U,0.043094,0,0.0198,,,4.5,,,,7.20E-14,0,0,3.53E+43,0,0,50.7115,0,12.0376,0,1.54164,0,rosat
Swift J1644+57,rs930728n00,r83,48000,942,0,3.729,13.601,0.952,1,0,U,0.0308041,0,0.0198,,,4.5,,,,8.75E-14,0,0,4.29E+43,0,0,11.9024,0,4.30634,0,1.54164,0,rosat
Swift J2058+05,rs931656n00 +rs931657n00,r84,48188.9,445,0,1.137,4.4,0.542,1,0,U,0.0282693,0,0.0697,,,4.5,,,,4.22E-13,0,0,5.48E+45,0,0,6.0007,0,2.96132,0,1.22707,0,rosat
TDE2,rs931763n00,r85,48200,377.71,0,0.427,2.73,0.43,1,0,U,0.024,0,0.0423,,,4.5,,,,1.06E-13,0,0,2.24E+43,0,0,5.08973,0,1.8137,0,1,0,rosat
WINGS J1348,rp800055n00 +rp700145a00 +rp700284n00,r86,48438,43357,87523.52,308.742,7310.48,22.08,0,1,D,2.37,0.00838,0.16,-0.02,0.02,2.19,-0.1,0.1,0.95 (159),1.61E-11,1.60E-11,1.62E-11,1.49E+44,1.48E+44,1.50E+44,42295.7,232.225,34345.7,208.782,1273.87,37.229,rosat
WINGS J1348,rp800105n00 +rp700145a01,r87,48625.7,36424,72908.59,281.976,6189.41,20.31,0,1,D,2.35,0.00911,0.13,-0.02,0.02,2.13,-0.11,0.11,1.12 (159),1.61E-11,1.59E-11,1.63E-11,1.49E+44,1.47E+44,1.51E+44,35156.8,211.755,28848.1,191.534,1109.6,34.851,rosat
WINGS J1348,rs931234n00,r88,48083.6,467,487,24.409,101.665,2.603,0,1,D,1.22685,0.0614914,0.145,average of rosat fits for this event,,2.16,average of rosat fits for this event,,,1.45E-11,1.38E-11,1.53E-11,1.34E+44,1.28E+44,1.41E+44,232.942,18.2918,184.393,16.1741,6.733,2.843,rosat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XMM J152130.7+074916,900,c1,51600,58100,0.49,1.74,2.51,0.16,1,0,U,0.000139,0,0.026,,,4.5,,,,6.83E-15,0,0,6.49E+41,0,0,2.29754,0,2.89869,0,2.94723,0,chandra
D1-9,6864,c2,54051.2,29741.4,2.977,2.456,3.023,0.174,0.803819,0.196181,U,0.000307803,0,0.0249,,,4.5,,,,2.46E-15,0,0,9.80E+41,0,0,1.45766,0,1.66408,0,4.81505,0,chandra
D23H-1,8601,c3,54683.2,9060,1.342,1.417,0.658,0.082,0.48,0.52,U,0.000379141,0,0.04,,,4.5,,,,3.89E-15,0,0,4.02E+41,0,0,1.82187,0,0.89105,0,1.6811,0,chandra
D23H-1,7867+7868+9719,c4,54400,59850,4.476,3.327,6.524,0.257,0.89,0.11,U,0.000263374,0,0.04,,,4.5,,,,2.70E-15,0,0,2.79E+41,0,0,2.33727,0,2.0877,0,8.35425,0,chandra
D3-13,5848+5847+5850 +6216,c5,53556.3,184025,17.631,4.801,5.369,0.231,4.75E-05,0.999953,D,0.000106453,2.90E-05,0.0134,,,4.5,,,,5.91E-15,4.32E-15,7.53E-15,3.23E+42,2.36E+42,4.11E+42,16.2256,4.30333,2.65262,0,7.22587,0,chandra
D3-13,9727+9729+9730 +9881+9454+9455 +9456+9457+9460 +9733+9878+9879 +9880,c6,54700,592580,5.704,5.119,20.296,0.453,0.999987,1.33E-05,U,6.34E-05,0,0.0134,,,4.5,,,,3.54E-15,0,0,1.93E+42,0,0,5.26046,0,5.76891,0,19.0968,0,chandra
"GRB060218, SN2006aj",7604,c7,54470.7,19095.9,1.745,2.243,3.255,0.177,0.961612,0.0383884,U,0.000504325,0,0.1124,,,2.38,,,,2.71E-15,0,0,6.94E+39,0,0,1.43589,0,1.07986,0,4.12409,0,chandra
"GRB060218, SN2006aj",6307+6308,c8,53797.2,49273.1,73.96,9.28,12.043,0.349,0,1,D,0.0016678,0.000209264,0.1124,,,2.38,-1.14,1.17,0.21 (3 ),7.02E-15,6.32E-15,8.74E-15,1.80E+40,1.62E+40,2.23E+40,34.1178,6.18667,39.8089,6.66667,6.86961,0,chandra
HLX-1,4971,c9,52959.9,24791.1,1.469,1.416,0.531,0.074,0.411395,0.588605,U,0.000121777,0,0.0221,,,4.5,,,,6.23E-15,0,0,6.91E+39,0,0,0.621338,0,1.17791,0,1.80934,0,chandra
HLX-1,13122,c10,55445.9,9537.14,9.733,3.467,2.267,0.152,0.000585291,0.999415,D,0.00113393,0.000403918,0.0221,,,4.5,,,,8.51E-15,5.50E-15,1.16E-14,9.43E+39,6.09E+39,1.28E+40,4.24,2.22222,3.17444,1.92444,2.55846,0,chandra
