"		TDE	","	  Host 	","Host	","	 Host	"," TDE	"," TDE	","	 									",
PTF-09ge,SDSS J145703.17+493640.9,"	14:57:03.18","+49:36:40.97	","	14:57:03.10","+49:36:40.80	","0.064	",2014ApJ...793...38A
PTF-10iam,SDSS J154530.83+540231.9,"	15:45:30.83","+54:02:31.91	","	15:45:30.85","+54:02:33.00	","0.109	",2014ApJ...793...38A
PTF-10iya,SDSS J143840.98+373933.4,"	14:38:40.98","+37:39:33.45	","	14:38:41.00","+37:39:33.60	","0.22405	",2012MNRAS.420.2684C
PTF-10nuj,SDSS J162624.66+544221.4,"	16:26:24.66","+54:42:21.44	","	16:26:24.70","+54:42:21.60	","0.132	",2014ApJ...793...38A
PTF-11glr,SDSS J165406.16+412015.4,"	16:54:06.17","+41:20:15.45	","	16:54:06.13","+41:20:14.80	","0.207	",2014ApJ...793...38A
RBS 1032,SDSS J114726.69+494257.8,"	11:47:26.80","+49:42:59.00	", ,"		","0.026	","2006MNRAS.371.1587G, 2014ApJ...792L..29M"
RX J1242-11A,RX J1242.6-1119A,"	12:42:36.90","-11:19:35.00	","	12:42:38.55","-11:19:20.80	","0.05	","1999A&A...349L..45K,2004ApJ...603L..17K, 2004ApJ...604..572H"
RX J1420+53,RX J1420.4+5334,"	14:20:24.37","+53:34:11.72	","	14:20:24.20","+53:34:11.00	","0.147	",2000A&A...362L..25G
RX J1624+75,RX J1624.9+7554,"	16:24:56.66","+75:54:56.09	","	16:24:56.70","+75:54:57.50	","0.0636	","1999A&A...350L..31G, 2004ApJ...604..572H"
SDSS J0159,SDSS J015957.64+003310.4,"	01:59:57.64","+00:33:10.49	", ,"		","0.31167	","2015ApJ...800..144L, 2015MNRAS.452...69M"
SDSS J0748,SDSS J074820.67+471214.3,"	07:48:20.67","+47:12:14.23	", ,"		","0.0615	","2011ApJ...740...85W, 2012ApJ...749..115W"
SDSS J0938,SDSS J093801.64+135317.0,"	09:38:01.64","+13:53:17.08	", ,"		","0.1006	",2012ApJ...749..115W
SDSS J0939,SDSS J093922.90+370944.0,"	09:39:22.89","+37:09:43.90	", ,"		","0.18589	",2007A&A...462L..49E
SDSS J0952,SDSS J095209.56+214313.3,"	09:52:09.56","+21:43:13.24	", ,"		","0.0789	","2008ApJ...678L..13K, 2008ApJ...678L..13K,2016ApJ...819..151P,2016arXiv160505145D"
SDSS J1011,SDSS J101152.98+544206.4,"	10:11:52.99","+54:42:06.50 	", ,"		","0.24608	",2016MNRAS.455.1691R
SDSS J1055,SDSS J105526.41+563713.1,"	10:55:26.42","+56:37:13.09	", ,"		","0.0743	",2012ApJ...749..115W
SDSS J1201,SDSS J120136.02+300305.5,"	12:01:36.03","+30:03:05.52	", ,"		","0.146	",2012A&A...541A.106S
SDSS J1241,SDSS J124134.25+442639.2,"	12:41:34.26","+44:26:39.23	", ,"		","0.0419	","2009MNRAS.397..172G, 2012ApJ...749..115W"
SDSS J1311,SDSS J131122.15-012345.6,11:22.2,-01:23:45.61,11:22.2,"-01:23:45.20	","0.18	","2010ApJ...722.1035M, 2013ApJ...763...84B"
SDSS J1323,SDSS J132341.97+482701.3,"	13:23:41.97","+48:27:01.26	", ,"		","0.08754	","2007A&A...462L..49E, 2008A&A...489..543E"
SDSS J1342,SDSS J134244.41+053056.1,"	13:42:44.42","+05:30:56.14	", ,"		","0.0366	","2013ApJ...774...46Y,2016arXiv160505145D"
SDSS J1350,SDSS J135001.49+291609.7,"	13:50:01.51","+29:16:09.71	", ,"		","0.0777	","2013ApJ...774...46Y, 2016arXiv160505145D"
Swift J1112-82,Swift J1112.2-8238,"	11:11:47.80","-82:38:44.71	","	11:11:47.32","-82:38:44.20	","0.89	","2015MNRAS.452.4297B,2016PASJ...68...58K"
Swift J1644+57,Swift J164449.3+573451,"	16:44:49.30","+57:34:51.00	", ,"		","0.3543	","2011Sci...333..203B, 2011Natur.476..421B,2011Natur.476..425Z,2011arXiv1104.2528B,2016ApJ...817..103M"
Swift J2058+05,Swift J205819.7+051329,"	20:58:19.85","+05:13:33.00	","	","	","1.1853	","2011ATel.3384....1K, 2012ApJ...753...77C,2015ApJ...805...68P"
UGC 01791,UGC 01791,"	02:19:53.66","+28:14:52.60	","	02:19:53.52","+28:14:52.80	","0.015881	",2015arXiv150506612H
UGC 03317,UGC 03317,"	05:33:37.54","+73:43:26.30	","	05:33:37.68","+73:43:26.40	","0.004136	",2015arXiv150506612H
"TDE1,VV-1",SDSS J234201.40+010629.2,"	23:42:01.41","+01:06:29.30	", ,"	","0.136	",2011ApJ...741...73V
"TDE2, VV-2",SDSS J232348.61-010810.3,"	23:23:48.62","-01:08:10.34	", ,"	","0.2515	",2011ApJ...741...73V
Wings (A1796),WINGS J134849.88+263557.5,48:49.9,+26:35:57.50,48:49.9,"+26:35:57.49	","0.062	","2013MNRAS.435.1904M, 2014ApJ...781...59D"
